file,class,label
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\StoppingData.java,com.iluwatar.databus.data.StoppingData,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\CmsPrefrenceAreaProductRelationExample.java,com.macro.mall.model.CmsPrefrenceAreaProductRelationExample$GeneratedCriteria,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\Servant.java,com.iluwatar.servant.Servant,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\Candy.java,com.iluwatar.typeobject.Candy,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\RoomTest.java,com.iluwatar.transactionscript.RoomTest,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\FileWriterAction.java,com.iluwatar.execute.around.FileWriterAction,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\TaskHandler.java,com.iluwatar.leaderfollowers.TaskHandler,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\InitializingOnDemandHolderIdiomTest.java,com.iluwatar.singleton.InitializingOnDemandHolderIdiomTest,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\AlbumPage.java,com.iluwatar.pageobject.AlbumPage,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\PmsProductFullReductionExample.java,com.macro.mall.model.PmsProductFullReductionExample,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\CmsSubjectComment.java,com.macro.mall.model.CmsSubjectComment,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\SoldierTest.java,com.iluwatar.visitor.SoldierTest,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\SmsHomeBrandExample.java,com.macro.mall.model.SmsHomeBrandExample,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\WashingMachineTest.java,com.iluwatar.balking.WashingMachineTest,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\Cake.java,entity.Cake,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\UmsAdminRoleRelationExample.java,com.macro.mall.model.UmsAdminRoleRelationExample$Criterion,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\RoyaltyObjectMother.java,com.iluwatar.objectmother.RoyaltyObjectMother,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\AnnotationBasedRepositoryTest.java,com.iluwatar.repository.AnnotationBasedRepositoryTest,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\OmsPromotionService.java,com.macro.mall.portal.service.OmsPromotionService,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\CmsSubjectProductRelationDao.java,com.macro.mall.dao.CmsSubjectProductRelationDao,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\GraphicComponent.java,com.iluwatar.component.component.graphiccomponent.GraphicComponent,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\CommandService.java,com.iluwatar.cqrs.commandes.CommandService,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\UmsAdminPermissionRelation.java,com.macro.mall.model.UmsAdminPermissionRelation,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\CommonPage.java,com.macro.mall.common.api.CommonPage,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\UmsMemberRuleSetting.java,com.macro.mall.model.UmsMemberRuleSetting,0
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\UmsMemberTaskExample.java,com.macro.mall.model.UmsMemberTaskExample$GeneratedCriteria,1
C:\Users\shanu\Documents\BTP\CodeSmell-3\data\java_train\SmsHomeRecommendSubjectService.java,com.macro.mall.service.SmsHomeRecommendSubjectService,0
