file,class,label
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\StoppingData.java,com.iluwatar.databus.data.StoppingData,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\CmsPrefrenceAreaProductRelationExample.java,com.macro.mall.model.CmsPrefrenceAreaProductRelationExample$GeneratedCriteria,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\Servant.java,com.iluwatar.servant.Servant,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\Candy.java,com.iluwatar.typeobject.Candy,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\RoomTest.java,com.iluwatar.transactionscript.RoomTest,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\FileWriterAction.java,com.iluwatar.execute.around.FileWriterAction,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\FanOutFanInTest.java,com.iluwatar.fanout.fanin.FanOutFanInTest,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\TaskHandler.java,com.iluwatar.leaderfollowers.TaskHandler,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\InitializingOnDemandHolderIdiomTest.java,com.iluwatar.singleton.InitializingOnDemandHolderIdiomTest,0
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\AlbumPage.java,com.iluwatar.pageobject.AlbumPage,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,1
c:\Users\rachi\OneDrive\Desktop\MyFolder\CodeSmell - 3\data\java_train\PmsProductFullReductionExample.java,com.macro.mall.model.PmsProductFullReductionExample,1
